Date,Description,Debit,Credit,Balance,Month,Net Flow
2019-10-03,WINELEAF CD 7420  DEB,,,,2019-10,0.0
2019-10-05,KATE EYR G D LTD KEGD RP4679969826950500  FPI  08 Oct19  LNK COOPERATIVE SW CD 7420 01DEC19  CPT  100.00  1786.45  12 Oct19  LNK PO MITCHAM LAN CD 7420 30NOV19  CPT  10.00  1776.45,,,,2019-10,0.0
2019-10-12,MIS BAR MLECZNY CD 7420  DEB  28.90  1747.55,28.9,0.0,747.55,2019-10,-28.9
2019-10-16,SPORTSDIRECT 252 CD 7420  DEB  27.99  1719.56,27.99,0.0,719.56,2019-10,-27.99
2019-10-19,KATE EYR G D LTD KEGD RP4679969433992900  FPI  860.00  1849.56,860.0,0.0,849.56,2019-10,-860.0
2019-10-23,WINELEAF CD 7420  DEB  10.50  2469.06.,10.5,0.0,469.06,2019-10,-10.5
2019-10-24,LNK PO MITCHAM LAN CD 7420 11SEP15  CPT  150.00  2319.06,150.0,0.0,319.06,2019-10,-150.0
2019-10-27,MCDONALDS CD7420  DEB  25.79  2293.67,25.79,0.0,293.67,2019-10,-25.79
2019-10-30,SUPER CHOICE CD 7420  DEB  76.60  2216.67,76.6,0.0,216.67,2019-10,-76.6
2019-11-05,TESCO STORES 6765 CD 7420  DEB  42.60  2174.07,42.6,0.0,174.07,2019-11,-42.6
2019-11-06,CROY CTRL 773001  DEB,,,,2019-11,0.0
2019-11-07,VODAFONE LTD 7014378191-1001  DD  50.00  2324.07,50.0,0.0,324.07,2019-11,-50.0
2019-11-11,LOYD ROYDON CENTR CD 7420  CPT  200.00  2124.07,200.0,0.0,124.07,2019-11,-200.0
2019-11-13,NIKE FACTORY STORE CD 7420  DEB  250.00  1874.07,250.0,0.0,874.07,2019-11,-250.0
2019-11-13,LOYD STREATHAM HIG  CSH  340.00  1534.04,340.0,0.0,534.04,2019-11,-340.0
2019-11-14,".$7( (<5 * ' /7' . (*' 53  )3,",,,,2019-11,0.0
2019-11-17,KINGS TUN CD 7420  DEB  56.60  2347.44,56.6,0.0,347.44,2019-11,-56.6
2019-11-18,LNK COOPERATIVE SW CD 7420 17NOV19  CPT  170.00  2177.44,170.0,0.0,177.44,2019-11,-170.0
2019-11-19,WESTERN VILLA CD7420  DEB  185.60  1991.84,185.6,0.0,991.84,2019-11,-185.6
2019-11-19,P ADAMCZUK KASA  TFR  210.00  1781.84,210.0,0.0,781.84,2019-11,-210.0
2019-11-22,BEDFORD TAVERN CD 7420  DEB  198.00  1583.84  23 Nov19  MCDONALDS DC 7420  DEB  16.34  1567.05,,,,2019-11,0.0
2019-11-26,KATE EYR G D LTD KEGD RP4679966305820600  FPI  27 Nov19  LNK WEST NORWOOD 1 CD 7420 27NOV19  CPT  70.00  2457.05,70.0,0.0,457.05,2019-11,-70.0
2019-11-28,DELIGHT CD 7420  DEB  133.45  2324.05,133.45,0.0,324.05,2019-11,-133.45
